substance,cp_0,cp_1,cp_2,cp_3,cp_4,cp_5,cp_6,cp_7,cp_8,cp_9,cp_10,cp_11,cp_12,cp_13,cp_14,cp_15,cp_16,cp_17,cp_18,cp_19,cp_20,cp_21,cp_22,cp_23,cp_24,cp_25,cp_26,cp_27,cp_28
kiwi,857.1212,59.53701,42.79168,0.6500849,0.26519525,0.75207174,13.656692,138.95412,2.122241,8.547538,-0.10967742,10.352971,113525040.0,252.9382,35.48387,0.62682515,0.022580646,0.0426146,0.085908316,0.7005093,0.8003396,0.105772495,0.063497454,0.028013583,0.0,0.0032258064,0.03310696,0.086927,0.0025466892
lemon,843.9933,58.636665,41.95284,0.6768516,0.27681834,0.74861073,13.400389,137.23256,2.1019595,8.450017,-0.10793756,10.215377,119455760.0,249.42412,34.92627,0.62022585,0.024576552,0.046164066,0.08435736,0.6881435,0.7942544,0.103121884,0.06227167,0.027399534,0.0,0.003155098,0.03238127,0.084689476,0.002324809
mandarin_orange,843.92,58.622627,42.016804,0.6599002,0.26455906,0.74872357,13.442719,136.47919,2.0682197,8.40599,-0.108153075,10.178037,111258320.0,249.19768,34.94293,0.62079865,0.023627289,0.045091514,0.08535774,0.6898503,0.7906822,0.10399334,0.062728785,0.027454242,0.0,0.0031613978,0.032445922,0.08469218,0.002828619
mango,855.70465,59.438866,42.740376,0.6450738,0.25809735,0.75260985,13.647304,138.45059,2.1037817,8.516873,-0.109886386,10.320163,113390270.0,252.48126,35.439716,0.6255723,0.02255384,0.04307275,0.08665423,0.6996778,0.7976937,0.10547736,0.06342208,0.02798033,0.0,0.0032219773,0.033067662,0.086484656,0.0025436662
mint,846.92,58.834282,42.205093,0.6571716,0.2660858,0.7501035,13.501213,137.06854,2.081937,8.441856,-0.10908177,10.2181635,95431680.0,250.02916,35.053116,0.62030834,0.022955764,0.045073725,0.08260724,0.6948727,0.79289544,0.10338472,0.06233244,0.027647452,0.0,0.0031836461,0.032674264,0.08545576,0.002178284
mugwort,859.6508,59.69851,43.045883,0.62900186,0.24807397,0.75407267,13.740286,138.48816,2.0796096,8.5370655,-0.110768706,10.346516,97506610.0,253.36449,35.610855,0.62112653,0.022427667,0.0431433,0.081321694,0.7070707,0.80225986,0.10409176,0.06300291,0.028077384,0.0,0.0032528676,0.033213492,0.08611539,0.0025680533
mustard,279.521,18.990654,6.6168222,1.1214954,0.36448598,0.58137465,1.7392848,80.8013,2.598131,3.8971963,0.056074765,5.0186915,926170050.0,89.102806,10.682243,0.76635516,0.018691588,0.018691588,0.43925235,0.018691588,0.22429906,0.22429906,0.07476635,0.009345794,0.0,0.0,0.10280374,0.1588785,0.018691588
nutmeg,851.3024,59.13423,42.509106,0.644688,0.2544688,0.7525651,13.58974,137.37544,2.0770657,8.460202,-0.109612145,10.251433,112759256.0,251.17201,35.25818,0.6229342,0.022596965,0.04232715,0.08499157,0.6966273,0.79527825,0.10421585,0.06273187,0.02782462,0.0,0.0032040472,0.032883644,0.08583474,0.0023608769
oregano,861.06635,59.806824,43.120842,0.62924236,0.2538567,0.75408626,13.755324,138.99564,2.0961604,8.561878,-0.11141584,10.375043,112437820.0,253.81522,35.681522,0.62461436,0.022625986,0.043195065,0.08364759,0.70637643,0.8028797,0.10558793,0.06376414,0.028111072,0.0,0.0032567705,0.03342475,0.08656154,0.0022283169
peach,850.7887,59.08423,42.42115,0.65534633,0.2592468,0.75016755,13.531228,138.0393,2.110289,8.487559,-0.10827169,10.281271,118520940.0,251.10155,35.209988,0.62508404,0.022864828,0.043039676,0.08843309,0.69821787,0.7970747,0.10474109,0.06287828,0.027740417,0.0,0.003194351,0.03278413,0.08574311,0.0028581035
pear,846.11304,58.76392,42.089695,0.6642214,0.27392465,0.74635255,13.420954,137.96571,2.1312103,8.476826,-0.10703568,10.258753,111480900.0,249.85396,35.002502,0.62504166,0.022507502,0.042847615,0.09036346,0.69689894,0.7979326,0.103701234,0.06252084,0.02750917,0.0,0.0031677226,0.032510836,0.08502834,0.0028342782
pili_nut,863.92773,60.001377,43.31754,0.62250173,0.24896623,0.7557701,13.81018,139.33224,2.0914886,8.584252,-0.11199173,10.407477,98128200.0,254.57753,35.796864,0.6235355,0.022570642,0.042556856,0.083390765,0.7100276,0.8044452,0.106305994,0.06409373,0.02842867,0.0,0.0032736044,0.033597518,0.087181255,0.0022398345
pineapple,850.2939,59.060375,42.412884,0.6485032,0.2610158,0.7515665,13.536451,137.92723,2.1057854,8.481164,-0.10847629,10.274975,115079460.0,250.90851,35.202995,0.6239489,0.022367978,0.042885974,0.086108305,0.6984528,0.79852,0.10511268,0.062899426,0.027917927,0.0,0.0031954255,0.033131517,0.08577195,0.0028590648
potato,827.9363,57.47763,40.880272,0.7035726,0.27293208,0.7446679,13.053416,135.30101,2.116833,8.319762,-0.102349535,10.053589,119836350.0,244.86642,34.219986,0.61860317,0.024299968,0.049726423,0.08850981,0.67074347,0.77341485,0.10170583,0.06292243,0.029771484,0.0,0.0037013197,0.032990023,0.090762794,0.0041841003
radish,855.0917,59.37327,42.637886,0.6525853,0.26309565,0.75089556,13.582408,138.9198,2.1231835,8.55272,-0.10797567,10.359412,121504330.0,252.2947,35.36178,0.62521124,0.022642784,0.042412978,0.08583981,0.7007435,0.79976344,0.104596145,0.06302805,0.028218992,0.0,0.00337952,0.03717472,0.08617777,0.0030415682
saffron,858.3588,59.622444,42.895435,0.640327,0.25408718,0.7533632,13.680109,138.90123,2.108481,8.553304,-0.11052452,10.357459,131379860.0,253.20027,35.55058,0.6231267,0.022820164,0.04342643,0.08378746,0.70418936,0.80006814,0.10422343,0.0630109,0.028099455,0.0,0.0032356947,0.03320845,0.08634196,0.0022138965
star_anise,856.98004,59.527687,42.86335,0.63980234,0.2552394,0.7532381,13.694502,138.2184,2.0833192,8.517635,-0.110751405,10.318624,97041460.0,252.74596,35.496506,0.62020785,0.022831827,0.04276708,0.08212642,0.7033566,0.8001363,0.10410632,0.06304311,0.027943432,0.0,0.0032373487,0.033055034,0.08621571,0.002385415
strawberry,853.21185,59.273277,42.42437,0.6798319,0.28453782,0.7477709,13.52534,139.46712,2.1690757,8.564538,-0.104369745,10.361009,112380270.0,252.18016,35.270252,0.62957984,0.022521008,0.042521007,0.0897479,0.6979832,0.8013445,0.10386555,0.06252101,0.027731093,0.0,0.0031932774,0.03277311,0.08554622,0.0025210085
sweet_potato,857.09155,59.53251,42.80428,0.6450518,0.25683245,0.7529662,13.647483,138.85559,2.1132236,8.54405,-0.10881005,10.350704,113607640.0,252.8793,35.484127,0.6253607,0.022916313,0.042946868,0.08640299,0.7015787,0.7985062,0.10558479,0.06365643,0.028008828,0.0,0.0032252588,0.033101343,0.08657274,0.0027160074
tomato,841.71796,58.44518,41.845875,0.65702003,0.25467175,0.7457355,13.379215,136.22025,2.0874815,8.376054,-0.10633372,10.149165,117010550.0,248.4475,34.861088,0.61832315,0.025467174,0.044650238,0.08566231,0.68546385,0.78634036,0.10368778,0.06499091,0.027782371,0.0,0.003142054,0.03290888,0.0851662,0.00264594
turnip,853.0121,59.200306,42.624935,0.6296735,0.24970394,0.75026715,13.5832,138.02191,2.092201,8.491457,-0.10945694,10.301133,113121690.0,251.31044,35.302994,0.6232448,0.022500424,0.04229403,0.08729488,0.69768226,0.7947894,0.1062426,0.06377939,0.028083235,0.0,0.0032143462,0.035357807,0.08678734,0.0023684655
